Test,Label,Fetch Width,il1/dl1 Size,ul2 Size,Assoc,il1lat,dl1lat,dl2lat,Benchmark,sim_IPC,sim_cycle,sim_slip,dl1.miss_rate,ul2.miss_rate
A,Baseline,1,1024:64:1,1024:64:2,2way,1,1,2,Bzip2,0.4452,4491968,26732447,0,0
A,Baseline,1,1024:64:1,1024:64:2,2way,1,1,2,mcf,0.6094,3281809,13532855,0.0526,0.5056
A,Baseline,1,1024:64:1,1024:64:2,2way,1,1,2,hmmer,0.4098,4879957,19048532,0.0157,0.9053
A,Baseline,1,1024:64:1,1024:64:2,2way,1,1,2,sjeng,0.6316,3166755,15271653,0.02,0.5377
A,Baseline,1,1024:64:1,1024:64:2,2way,1,1,2,milc,0.5434,3680700,16135350,0.0617,0.5045
A,Baseline,1,1024:64:1,1024:64:2,2way,1,1,2,equake,0.6233,3208977,13423426,0.0055,0.3126
B,Mid-size,1,2048:64:1,2048:64:4,4way,2,2,11,Bzip2,0.4271,4682823,28189229,0.4034,0.3637
B,Mid-size,1,2048:64:1,2048:64:4,4way,2,2,11,mcf,0.6074,3292802,13638399,0.0525,0.2555
B,Mid-size,1,2048:64:1,2048:64:4,4way,2,2,11,hmmer,0.4318,4632266,18838279,0.0153,0.4836
B,Mid-size,1,2048:64:1,2048:64:4,4way,2,2,11,sjeng,0.7146,2798808,13393853,0.0185,0.2344
B,Mid-size,1,2048:64:1,2048:64:4,4way,2,2,11,milc,0.5375,3720640,16461683,0.0616,0.2582
B,Mid-size,1,2048:64:1,2048:64:4,4way,2,2,11,equake,0.6146,3254088,14238087,0.0041,0.379
C,High-end,1,4096:64:2,4096:128:8,8way,4,4,13,Bzip2,0.5061,3952158,20180648,0.2824,0.4908
C,High-end,1,4096:64:2,4096:128:8,8way,4,4,13,mcf,0.5886,3397938,14145623,0.0525,0.2668
C,High-end,1,4096:64:2,4096:128:8,8way,4,4,13,hmmer,0.3667,5453486,22193938,0.0149,0.4953
C,High-end,1,4096:64:2,4096:128:8,8way,4,4,13,sjeng,0.6863,2914155,16154624,0.014,0.4061
C,High-end,1,4096:64:2,4096:128:8,8way,4,4,13,milc,0.5542,3608606,15101764,0.0613,0.2571
C,High-end,1,4096:64:2,4096:128:8,8way,4,4,13,equake,0.5428,3684266,16995688,0.004,0.51
D,Max config,1,8192:64:4,8192:128:16,16way,6,6,13,Bzip2,0.4639,4311411,22350827,0.2824,0.5015
D,Max config,1,8192:64:4,8192:128:16,16way,6,6,13,mcf,0.5594,3575136,15019760,0.0525,0.3456
D,Max config,1,8192:64:4,8192:128:16,16way,6,6,13,hmmer,0.3131,6386944,25538690,0.0149,0.5022
D,Max config,1,8192:64:4,8192:128:16,16way,6,6,13,sjeng,0.6238,3206042,19697510,0.014,0.5012
D,Max config,1,8192:64:4,8192:128:16,16way,6,6,13,milc,0.543,3683353,15421171,0.06,0.3257
D,Max config,1,8192:64:4,8192:128:16,16way,6,6,13,equake,0.4805,4162002,20042553,0.004,0.51
