Test,Predictor,BTB,BimodalTable,Benchmark,sim_IPC,sim_cycle,avg_sim_slip,sim_exec_BW
A,PredictNotTaken,none,none,Bzip2,0.3605,5548074,13.366,0.3986
A,PredictNotTaken,none,none,mcf,0.4657,4294593,6.7604,0.5129
A,PredictNotTaken,none,none,hmmer,0.3586,5577794,9.5231,0.3837
A,PredictNotTaken,none,none,sjeng,0.4626,4323079,7.6356,0.5162
A,PredictNotTaken,none,none,milc,0.4515,4429791,7.8477,0.4898
A,PredictNotTaken,none,none,equake,0.4514,4431048,6.7045,0.5065
B,Bimodal,512,512x4way,Bzip2,0.4451,4492923,13.3662,0.4452
B,Bimodal,512,512x4way,mcf,0.5997,3335106,6.7628,0.6027
B,Bimodal,512,512x4way,hmmer,0.4086,4894576,9.5246,0.4091
B,Bimodal,512,512x4way,sjeng,0.5844,3422178,7.6358,0.5993
B,Bimodal,512,512x4way,milc,0.542,3689931,8.0339,0.5429
B,Bimodal,512,512x4way,equake,0.6001,3332859,6.7117,0.6068
C,Perfect,infinite,infinite,Bzip2,0.4452,4491968,13.3662,0.4452
C,Perfect,infinite,infinite,mcf,0.6094,3281809,6.7664,0.6094
C,Perfect,infinite,infinite,hmmer,0.4098,4879958,9.5243,0.4098
C,Perfect,infinite,infinite,sjeng,0.6316,3166755,7.6358,0.6316
C,Perfect,infinite,infinite,milc,0.5434,3680700,8.0677,0.5434
C,Perfect,infinite,infinite,equake,0.6233,3208977,6.7117,0.6233
